track_name,artist_name,released_year,streams,danceability_percentage
Yellow,Chris Molitor,1999,1755214421,43
Problemón,"Alvaro Diaz, Rauw Alejandro",2021,209768491,73
Smokin Out The Window,"Bruno Mars, Anderson .Paak, Silk Sonic",2021,383550148,63
Belly Dancer,"BYOR, Imanbek",2022,383835984,85
En Paris,"El Chachito, Junior H",2022,198275403,70
25k jacket (feat. Lil Baby),"Gunna, Lil Baby",2022,54937991,90
MONEY,Lisa,2021,863625566,83
Sparks,Coldplay,2000,624101957,37
Pepas,Farruko,2021,1309887447,76
"Gol Bolinha, Gol Quadrado 2","Mc Pedrinho, DJ 900",2023,11956641,93
Too Late,SZA,2022,49262961,45
Gangsta's Paradise,"Coolio, L.V.",1995,1357608774,63
Shallow,"Lady Gaga, Bradley Cooper",2018,2159346687,57
Daylight,David Kushner,2023,387570742,51
LUNA,"Junior H, Peso Pluma",2023,55842345,75
Sweater Weather,The Neighbourhood,2012,2282771485,61
2055,Sleepy hallow,2021,624515457,78
Man Made A Bar (feat. Eric Church),"Morgan Wallen, Eric Church",2023,58890931,50
Gato de Noche,"Nengo Flow, Bad Bunny",2022,304118600,89
Forget Me,Lewis Capaldi,2022,239411309,67
Tak Segampang Itu,Anggi Marito,2022,179659294,51
Right On,Lil Baby,2022,101780047,70
The Great War,Taylor Swift,2022,181382590,57
Reminder,The Weeknd,2016,684675814,71
The Motto,"Tiësto, Ava",2021,656013912,75
F2F,SZA,2022,67540165,53
The Real Slim Shady,Eminem,2000,1424589568,95
ceilings,Lizzy McAlpine,2022,293186992,51
After Hours,The Weeknd,2020,698086140,66
Stay Alive (Prod. SUGA of BTS),Jung Kook,2022,246376690,51
Vista Al Mar,Quevedo,2022,362361576,76
fukumean,Gunna,2023,95217315,85
Love Of My Life,Harry Styles,2022,233671263,56
Moonlight,Kali Uchis,2023,256483385,64
STAR WALKIN' (League of Legends Worlds Anthem),Lil Nas X,2022,332506354,64
Si Quieren Frontear,"De La Ghetto, Duki, Quevedo",2022,178512385,79
LOKERA,"Brray, Rauw Alejandro, Lyanno",2022,471819764,83
STAY (with Justin Bieber),"Justin Bieber, The Kid Laroi",2021,2665343922,59
WORTH NOTHING,"Twisted, Oliver Tree",2022,213438580,58
Pink + White,Frank Ocean,2016,806397070,54
Feliz Cumpleaños Ferxxo,Feid,2022,601863821,87
Curtains,Ed Sheeran,2023,39893489,50
Good Days,SZA,2020,826623384,46
Notice Me,SZA,2022,62019074,72
Golden,Harry Styles,2019,807015863,45
Meet Me At Our Spot,"THE ANXIETY, Willow, Tyler Cole",2020,530511203,77
Until I Found You (with Em Beihold) - Em Beihold Version,"Em Beihold, Stephen Sanchez",2022,600976848,34
"Angel Pt 1 (feat. Jimin of BTS, JVKE & Muni Long)","Kodak Black, NLE Choppa, Muni Long, JVKE, Jimin",2023,133753727,53
Heartless,Kanye West,2008,887906111,66
Bound 2,Kanye West,2013,703301727,28
Praise God,Kanye West,2021,376333030,21
Lost,Frank Ocean,2012,822239726,49
Shape of You,Ed Sheeran,2017,3562543890,93
Blinding Lights,The Weeknd,2019,3703895074,38
Someone You Loved,Lewis Capaldi,2018,2887241814,45
